TIME24,TITLE,AUTHOR,TIMES,PAGE NUMBER,QUOTE
11:15:00,The Adventures of Sherlock Holmes (Sherlock Holmes 3),Arthur Conan Doyle,11:15,61,"
                            ""'To Eyford, in Berkshire. It is a little place near the bordersof Oxfordshire, and within seven miles of Reading. There is atrain from Paddington which would bring you there at about11:15.'
"
11:15:00,November 9,Colleen Hoover,11:15 a.m.,68,"
                            I’m squinting, so that means there’s sun. Which means it’s 11:15 a.m.
"
11:15:00,The Adventures of Sherlock Holmes (Sherlock Holmes 3),Arthur Conan Doyle,11:15,22,"
                            ""Have you a couple of days to spare? Have just been wired for fromthe west of England in connection with Boscombe Valley tragedy.Shall be glad if you will come with me. Air and scenery perfect.Leave Paddington by the 11:15.""
"
11:30:00,The Adventures of Sherlock Holmes (Sherlock Holmes 3),Arthur Conan Doyle,11:30,83,"
                            ""There is a train at half-past nine,"" said I, glancing over myBradshaw. ""It is due at Winchester at 11:30.""
"
11:57:00,November 9,Colleen Hoover,11:57,84,"
                            She glances down at the phone in her hands, and then she looks back up at me. “It’s 11:57, Ben. We only have three minutes to do this.”
"
12:12:00,Speaker for the Dead (Ender's Saga 2),Orson Scott Card,12:12,44,"
                            Meta-Science, the Journal of Methodology, 2001: 12:12:144-45
"
12:30:00,The Kite Runner,Khaled Hosseini,12:30,20,"
                            Then, one sweltering Sunday that summer, Baba and I were at the flea market, sitting at our booth, fanning our faces with news papers. Despite the sun bearing down like a branding iron, the market was crowded that day and sales had been strong--it was only 12:30 but we'd already made $160. I got up, stretched, and asked Baba if he wanted a Coke. He said he'd love one.
"
12:42:00,The Starless Sea,Erin Morgenstern,12:42,26,"
                            Zachary checks his watch: 12:42.
"
17:05:00,November 9,Colleen Hoover,5:05 p.m.,16,"
                            I walk up to her front door at approximately 5:05 p.m. I’m early, but like I said . . . she’s leaving for New York and I’ll never see her again. Fifty-five extra minutes with her isn’t nearly as many as I want.
"
17:30:00,Twilight (Twilight 1),Stephenie Meyer,5:30 p.m.,7,"
                            If I haven't heard from you by 5:30 p.m. today I'm calling Charlie.
"
19:00:00,November 9,Colleen Hoover,7:00 p.m.,78,"
                            I’ve taken breaks to eat. To think. To breathe. It’s almost 7:00 p.m. now and I’ve only made it through half of the manuscript. I usually get through books in a matter of a few hours, but this has been the hardest thing I’ve ever had to read in my life. I can’t imagine how hard it must have been for Ben to write.
"
22:23:00,The Handmaid's Tale (The Handmaid's Tale 1),Margaret Atwood,22:23,68,"He has abused his position of trust. His partner in viciousness has already been shot. The penalty for rape, as you know, is death. Deuteronomy 22:23-29. I might add that this crime involved two of you and took place at gunpoint. It was also brutal. I will not offend your ears with any details, except to say that one woman was pregnant and the baby died""."
22:30:00,It Ends with Us,Colleen Hoover,10:30 p.m.,20,"
                            I check the time on my phone and it’s almost 10:30 p.m. I put the phone on silent and then lie down next to him. His phone is on the pillow next to his head, so I grab it and swipe up the camera option. I hold his phone above us and make sure my cleavage looks good and pushed together. I snap a picture so he’ll at least see what he missed out on.
"
22:30:00,The Kite Runner,Khaled Hosseini,10:30 P.M.,46,"
                            I carried him to his bed, set him down. Then I lay in my own bed, looking out the window at the purple sky over Islamabad. THE SKY WAS A DEEP BLACK when the phone jolted me from sleep. I rubbed my eyes and turned on the bedside lamp. It was a little past 10:30 P.M.; I'd been sleeping for almost three hours. I picked up the phone. ""Hello?""
"
23:55:00,November 9,Colleen Hoover,11:55 p.m.,84,"
                            At 11:55 p.m., I leave the tip. I don’t want to be here when the clock strikes November 10th. I’d rather wait out the last five minutes in my car.
"
23:56:00,November 9,Colleen Hoover,11:56 p.m.,84,"
                            It’s 11:56 p.m. when I reach the parking lot.
"
23:56:00,November 9,Colleen Hoover,11:56 p.m.,84,"
                            It’s 11:56 p.m. when I see her open her door and step out of her car.
"
23:56:00,November 9,Colleen Hoover,11:56 p.m.,84,"
                            It’s still 11:56 p.m. when I clasp my hands behind my head and suck in a rush of cool November air just to see if my lungs are working.
"
